	ISO3	current_mammal_SR	rcp26_mammal_SR	rcp26_mammal_pctChange	rcp45_mammal_SR	rcp45_mammal_pctChange	rcp60_mammal_SR	rcp60_mammal_pctChange	rcp85_mammal_SR	rcp85_mammal_pctChange	current_bird_SR	rcp26_bird_SR	rcp26_bird_pctChange	rcp45_bird_SR	rcp45_bird_pctChange	rcp60_bird_SR	rcp60_bird_pctChange	rcp85_bird_SR	rcp85_bird_pctChange	current_both_SR	rcp26_both_SR	rcp26_both_pctChange	rcp45_both_SR	rc45_both_pctChange	rcp60_both_SR	rcp60_both_pctChange	rcp85_both_SR	rcp85_both_pctChange	GDP_per_capita	CO2_per_capita	Governance_score
173	TUR	198.2651515	195.6792929	-1.30424261	188.7348485	-4.806847274	189.8737374	-4.232420109	177.7777778	-10.3333206	453.239899	423.7373737	-6.509251573	400.1085859	-11.72255868	400.1843434	-11.70584401	362.8964646	-19.93280701	651.5050505	619.4166667	-4.925270159	588.8434343	-9.617978573	590.0580808	-9.431541574	540.6742424	-17.01150405	10862.6004	4.49147903	-0.476666667
174	TWN	235.7	253.55	7.573186254	247.15	4.857870174	253.95	7.742893509	243.5	3.309291472	713.3	754.3	5.747932146	737.3	3.364643208	751.15	5.306322725	723.7	1.458012057	949	1007.85	6.201264489	984.45	3.735511064	1005.1	5.911485774	967.2	1.917808219	NA	NA	1.115
175	TZA	223.8412371	206.9051546	-7.566113685	191.3773196	-14.50309958	186.7773196	-16.55812754	178.8721649	-20.08971749	660.6701031	594.6020619	-10.00015604	544.8536082	-17.53015526	527.6268041	-20.13762971	496.8474227	-24.79644223	884.5113402	801.5072165	-9.384178578	736.2309278	-16.76410529	714.4041237	-19.23177338	675.7195876	-23.60532229	877.5076	0.22134737	-0.548333333
176	UGA	257.9262295	235.1803279	-8.818762513	228.7213115	-11.32297327	230.0737705	-10.79861442	224.3606557	-13.01363333	740.5901639	628.6229508	-15.11864707	577.4344262	-22.03050292	575.1065574	-22.34482911	548.3852459	-25.95293961	998.5163934	863.8032787	-13.4913273	806.1557377	-19.26464673	805.1803279	-19.36233264	772.7459016	-22.61059441	580.3835	0.134656	-0.591666667
177	UKR	129.5445545	128.2112211	-1.029246917	122.709571	-5.276164272	120.2343234	-7.186894935	114.1782178	-11.86181596	338.4158416	310.3333333	-8.298225083	298.349835	-11.83928223	292.0792079	-13.69221767	275.3564356	-18.63370392	467.960396	438.5445545	-6.285968179	421.0594059	-10.02242722	412.3135314	-11.891362	389.5346535	-16.75905552	2185.728	5.02074706	-0.678333333
178	URY	69.32608696	84.4673913	21.84070241	87.55434783	26.29350894	90.0326087	29.86829727	92.39130435	33.27061775	347.7065217	381.9782609	9.856513176	382.173913	9.912782519	393.8804348	13.27956485	396.5652174	14.05170527	417.0326087	466.4456522	11.84872416	469.7282609	12.63585894	483.9130435	16.03721949	488.9565217	17.24659212	15220.566	1.97315082	0.865
179	USA	144.2297325	148.9823761	3.295189903	146.8038565	1.784738794	147.1123782	1.998648688	144.8415924	0.42422587	384.6135186	380.4669293	-1.078118438	371.0033174	-3.53866946	370.6831847	-3.621904365	358.3025088	-6.840895724	528.8432511	529.4493054	0.114599992	517.807174	-2.086833312	517.7955629	-2.089028864	503.1441012	-4.859502292	57638.1591	16.49060839	1.241666667
180	UZB	109.5614035	120.6403509	10.11208967	112.1052632	2.321857486	112.6447368	2.814251401	101.7061404	-7.169735789	272.6929825	266.4298246	-2.296780005	246.4824561	-9.611734809	241.1622807	-11.5627111	217.1929825	-20.35255895	382.254386	387.0701754	1.259838906	358.5877193	-6.191339468	353.8070175	-7.44199922	318.8991228	-16.5741102	2110.6678	3.42072275	-0.948333333
181	VEN	267.7878788	260.7727273	-2.619667308	253.3376623	-5.396142841	255.9891775	-4.405987811	247.9675325	-7.401509885	821.0562771	756.7705628	-7.829635566	700.9329004	-14.6303463	712.2965368	-13.24631981	667.3658009	-18.71862873	1088.844156	1017.54329	-6.548307709	954.2705628	-12.3593071	968.2857143	-11.07214847	915.3333333	-15.93532202	NA	6.02569758	-1.745
182	VIR	198	247	24.74747475	240	21.21212121	245	23.73737374	232	17.17171717	539	605	12.24489796	598	10.94619666	601	11.50278293	593	10.01855288	737	852	15.60379919	838	13.70420624	846	14.78968792	825	11.94029851	NA	NA	0.878
183	VNM	263.2638037	245.7423313	-6.655480984	234.1595092	-11.0551827	229.5030675	-12.82391872	213.1472393	-19.03663311	758.8895706	709.0490798	-6.567555114	679.0858896	-10.51584896	668.8834356	-11.86024139	625.9509202	-17.51752237	1022.153374	954.791411	-6.590201127	913.2453988	-10.65475869	898.3865031	-12.10844422	839.0981595	-17.90878153	2170.6481	1.80356575	-0.355
184	VUT	43.57142857	50.14285714	15.08196721	44.42857143	1.967213115	45	3.278688525	39.42857143	-9.508196721	249.4285714	243	-2.577319588	236.4285714	-5.211912944	240.4285714	-3.608247423	228	-8.591065292	293	293.1428571	0.048756704	280.8571429	-4.144319844	285.4285714	-2.584105314	267.4285714	-8.727450024	2860.5665	0.59499324	0.1
185	WSM	67	55	-17.91044776	50	-25.37313433	42	-37.31343284	37	-44.7761194	249	233	-6.425702811	216	-13.25301205	198	-20.48192771	169	-32.12851406	316	288	-8.860759494	266	-15.82278481	240	-24.05063291	206	-34.81012658	4030.0131	1.02978834	0.648333333
186	YEM	52.41048035	58.88646288	12.35627395	58.41484716	11.45642393	58.96943231	12.5145809	60.25764192	14.97250458	103.9388646	135.4497817	30.3167801	132.3275109	27.31283085	134.5851528	29.48491723	134.8471616	29.73699689	156.349345	194.3362445	24.29616803	190.7423581	21.99754217	193.5545852	23.79622389	195.1048035	24.78773321	990.3348	0.86483453	-1.993333333
187	ZAF	149.0381558	149.3195548	0.18881007	142.0286169	-4.70318417	142.745628	-4.222091845	129.0953895	-13.38098032	457.6963434	449.8855326	-1.706548659	424.4387917	-7.266291756	428.2352941	-6.436811154	384.5119237	-15.98973223	606.7344992	599.2050874	-1.240973074	566.4674086	-6.636690459	570.9809221	-5.892787892	513.6073132	-15.34891887	5274.546	8.9801193	0.128333333
188	ZMB	199.1376623	183.7064935	-7.74899567	168.3844156	-15.44320968	163.4077922	-17.94229666	138.025974	-30.68816195	575.0727273	545.3636364	-5.166144994	521.012987	-9.400504962	505.412987	-12.11320533	442.225974	-23.10086133	774.2103896	729.0701299	-5.830490051	689.3974026	-10.95477252	668.8207792	-13.61252856	580.2519481	-25.0524204	1269.5735	0.28827114	-0.363333333
189	ZWE	190.9547739	179.3718593	-6.065789474	165.6834171	-13.23421053	161.1457286	-15.61052632	137.2261307	-28.13684211	553.6432161	528.8542714	-4.477422283	501.0753769	-9.494894486	489.3115578	-11.61969594	431.8140704	-22.00499206	744.5979899	708.2261307	-4.884764636	666.758794	-10.45385524	650.4572864	-12.64315843	569.040201	-23.57752657	1029.0766	0.77995585	-1.188333333
